598426,"[78378, 147327]"
598335,"[104601, 127571, 104598, 72532]"
598270,"[126592, 153337]"
598235,"[67347, 139285]"
598185,"[128725, 154755, 152781, 87863, 152804, 153502, 153847, 152950, 152558, 153040, 152791, 108044, 131889, 143819, 152544, 152527, 82466, 18573]"
598129,"[154056, 87191]"
597812,"[32387, 18275, 82294]"
597793,"[126592, 153337]"
597790,"[126592, 153337]"
597706,"[153848, 153864, 153863, 147347]"
597650,"[121698, 122784]"
597637,"[153542, 86624]"
597531,"[153749, 139890, 139884]"
597516,"[153820, 147911]"
597494,"[7947, 83072, 14717]"
597479,"[74986, 75441]"
597458,"[68799, 69584]"
597348,"[62504, 16649, 62129]"
597276,"[154744, 153779, 153774, 153783, 153782, 153781, 153780, 153778, 153777, 153776, 153775, 121003]"
597243,"[155204, 155203, 153514]"
597230,"[38427, 153765]"
597225,"[133091, 153764]"
597204,"[153337, 126592]"
597196,"[61036, 70905]"
597164,"[153999, 136492]"
597146,"[145697, 145986]"
597105,"[122921, 152940, 122920]"
596983,"[153716, 81984]"
596982,"[154510, 134206, 135689, 132293, 139873]"
596653,"[153603, 71443, 153602, 153601]"
596596,"[49386, 49363, 51054, 50561]"
596546,"[83596, 60400, 153582, 153583]"
596476,"[9179, 33182]"
596459,"[25027, 23368, 68997]"
596402,"[113144, 153337, 126592]"
596361,"[28371, 59965]"
596346,"[14519, 17071, 29564]"
596340,"[153561, 153560, 153559, 136492]"
596221,"[59965, 28371]"
596205,"[73744, 73883]"
596104,"[23274, 116566]"
596098,"[153528, 132552, 153518, 153526, 153516]"
596035,"[144540, 32066, 24079]"
596020,"[80921, 80805]"
596007,"[116313, 153498]"
595956,"[153178, 153484]"
595947,"[153178, 153484]"
595823,"[153429, 153436]"
595776,"[153421, 153416]"
595775,"[153421, 153416]"
595773,"[153434, 153433, 148937, 148938, 148935]"
595772,"[153421, 153416]"
595770,"[153421, 153416]"
595768,"[153421, 153416]"
595756,"[153423, 153425]"
595752,"[153416, 153421]"
595478,"[126592, 153337]"
595470,"[153342, 153337]"
595460,"[126592, 153337]"
595455,"[153342, 153337]"
595446,"[126592, 153342, 153337]"
595445,"[126592, 153337]"
595442,"[153342, 126592, 153337]"
595440,"[113144, 153342, 126592, 153337]"
595415,"[151071, 153359, 153358, 153357, 153356, 153355, 125381, 153354, 153353, 153215, 153351, 87300]"
595394,"[153342, 153337]"
595378,"[153342, 153337]"
595376,"[153342, 126592, 153337]"
595373,"[126592, 153337]"
595224,"[142241, 146010]"
595119,"[62894, 62872, 11222]"
595109,"[152802, 152800, 153292, 153291, 153290, 153289, 153288, 153287, 153286, 49385]"
595007,"[23349, 85037]"
594975,"[79605, 130595]"
594869,"[11823, 58820, 104741]"
594867,"[142241, 146010]"
594771,"[78708, 18685]"
594740,"[153559, 136492]"
