id,collaborators
569030,[9661]
568970,[135457]
568829,[56622]
568797,[48589]
568751,"[13554, 12341]"
568630,[147351]
568605,"[147347, 147346, 135348]"
568534,"[71554, 71035]"
568460,[126130]
568421,[37787]
568296,"[71554, 71035]"
568287,"[128448, 141957]"
568257,[24227]
567734,"[147929, 147928, 147917, 147927, 147926, 147923, 147922, 147920, 147925, 147921, 147916]"
567651,"[22572, 67406]"
567594,[48497]
567568,[14177]
567441,[56589]
567190,[147058]
566978,"[147022, 147033, 134822, 147030, 147029, 147027, 147026, 147025, 136107, 147024, 134823, 136108, 141527, 134821, 134820, 134819]"
566798,[146933]
566788,"[60828, 146930, 146929, 146928]"
566784,"[148372, 49913, 75124, 50399]"
566783,"[148372, 49913, 75124, 50399]"
566782,"[148372, 49913, 75124, 50399]"
566781,"[148372, 49913, 75124, 50399]"
566780,"[75124, 49913, 50399]"
566776,[146926]
566775,"[148372, 49913, 75124, 50399]"
566737,"[148372, 49913, 75124, 50399]"
566717,"[148372, 49913, 75124, 50399]"
566590,"[155497, 149731, 132926, 132912]"
566444,[112952]
566441,[58896]
566192,[63594]
566079,"[108986, 104636, 149328, 149327, 149325, 149323, 147940]"
566001,"[146355, 146359, 146358, 146357, 146356, 145845]"
565844,[148373]
565746,"[134744, 147084]"
565692,[146735]
565588,"[147854, 146711]"
565472,"[104197, 107256]"
565444,[146696]
565319,"[146672, 131568, 146671, 146670]"
565231,"[150042, 65724]"
565225,[20768]
565156,[146886]
564830,[146547]
564583,"[146511, 62755, 75626]"
564471,"[146487, 76657]"
564416,"[113144, 153337]"
564382,[6066]
564353,"[146509, 146493, 146475, 146474, 146472, 146453, 146457, 146463, 146462, 146460]"
564296,[147714]
564178,[6367]
564156,[146108]
563658,[32341]
563644,"[149189, 146480, 146483, 146481, 146482, 82475]"
563587,[130051]
563551,[16649]
563446,[109703]
563415,[60782]
563399,[49289]
563344,"[121534, 120816]"
563342,"[120835, 120822, 146169]"
563286,"[146483, 146481, 146480, 146482, 82475]"
562992,[8244]
562982,"[68467, 111590]"
562693,[68786]
562666,"[149189, 146482, 146483, 146481, 146480, 82475]"
562632,"[1774, 2623, 10026, 25059]"
562517,[7901]
562472,[117969]
562288,"[149189, 146480, 146483, 146481, 146482, 82475]"
562275,[12940]
562261,"[145961, 145960]"
562028,"[145877, 30130]"
561938,[102754]
561935,[102754]
561928,[145848]
561917,[145848]
561831,"[18091, 61458]"
561698,"[139110, 69700]"
561573,[4282]
561539,[10850]
561501,[145765]
561478,"[145726, 145725]"
561466,[145903]
561428,[136306]
561392,[137688]
561367,[16304]
561355,[116142]
561289,"[7552, 71035]"
561228,[108209]
561220,[144270]
561219,[144270]
561189,"[145658, 116125]"
561173,"[145652, 145200]"
561145,"[85179, 70065, 70006, 72559, 88845, 69986, 70007]"
561091,[121333]
561089,[23551]
561078,"[147069, 109649]"
561041,[13391]
561039,"[705, 13391]"
560981,[69587]
560927,[139596]
560838,"[145934, 145933, 145925, 145924, 145923, 145921, 145919, 145909, 145918, 145917, 145916, 145915, 145914, 145913, 145912, 6830]"
560717,[112973]
560601,"[148372, 49913, 75124, 50399]"
560547,"[145491, 145492]"
560528,[145481]
560526,[145481]
560341,"[145689, 145688]"
560265,[142398]
560192,[11304]
560133,[24297]
560008,[68192]
559886,[145359]
559866,[142478]
559580,[145271]
559207,"[139404, 139405]"
558912,[139465]
558911,[119072]
558904,[114375]
558896,[25184]
558826,"[18719, 63615]"
558820,[119751]
558818,"[115, 13271]"
558761,[61452]
558702,"[63615, 28904]"
558683,[135092]
558645,[135092]
558613,"[129776, 135092]"
558356,"[151857, 151856, 151855, 151854, 151853, 151852]"
558341,[136099]
558174,"[17707, 38273, 19379]"
558172,[144941]
558040,"[139316, 109416, 104518, 31678, 378, 215, 340, 448, 277, 10, 1, 51765, 38753, 3519, 52709, 38790, 25395, 127399, 20879]"
557881,[136006]
557878,[138903]
557681,[129876]
557637,[3235]
557629,[140661]
557568,[140661]
557544,"[32590, 116560]"
557525,"[141761, 21841]"
557447,[144758]
557432,[144440]
557389,[145390]
557305,[144544]
557285,"[139633, 145633, 136105, 144727]"
557188,[145059]
557176,[2484]
556928,[144577]
556864,[144544]
556679,[144544]
556655,[144544]
556647,[2132]
556630,[144544]
556588,[144531]
556350,"[128448, 141957]"
556337,"[147022, 147033, 134822, 147030, 147029, 147027, 147026, 147025, 136107, 147024, 134819, 136108, 141527, 134823, 134820, 134821]"
556321,[69114]
556205,[144443]
556186,[146874]
556086,"[14166, 54061, 49938]"
556029,"[15430, 14236, 144393]"
555775,[144334]
555774,[144334]
555705,[144319]
555560,"[144555, 144553]"
555510,"[127684, 139285, 59965, 69208, 2195, 110431, 53189]"
555509,"[127684, 139285, 59965, 69208, 2195, 110431, 53189]"
555507,"[127684, 139285, 59965, 69208, 2195, 110431, 53189]"
555447,"[149993, 146445, 146899, 146414, 144280]"
555440,[55191]
555425,[144270]
555398,[72350]
555276,"[59965, 69208, 2195, 53189, 110431]"
555239,[141889]
554761,[31821]
554719,[50341]
554704,[143372]
554566,"[113799, 144077]"
554458,[143871]
554369,[144023]
554240,"[145223, 105236]"
554167,"[144429, 144427]"
554160,"[144429, 144427]"
554154,[133510]
554095,"[44236, 108700, 13135, 9655, 16785, 17394, 49174]"
553963,[62428]
553731,"[120806, 24466]"
553509,"[127885, 66478, 104475]"
553116,[143719]
553008,[4082]
552973,[24139]
552970,"[140029, 74554]"
552967,"[140029, 74554]"
552964,[135508]
552892,[141322]
552830,"[69104, 143817, 143820]"
552643,[76773]
552617,[133523]
552584,[112949]
552262,[13625]
552174,[143517]
552168,[143517]
551950,[63360]
551514,[143349]
551484,[143349]
551478,[143349]
551475,[143349]
551462,[143533]
551451,[62438]
551443,[72350]
551439,[143370]
551405,[145033]
551004,[144326]
550747,"[143174, 80105]"
550483,[143133]
550448,[10749]
550394,"[135855, 135784]"
550261,"[54676, 9724]"
550025,"[6915, 71437]"
549556,[112553]
549182,[110471]
549146,[142836]
549138,"[54959, 71622]"
548879,"[146295, 146294, 145953, 146276]"
548795,[143080]
548762,[141889]
548693,"[144429, 144427]"
548505,[142666]
548471,[131373]
548235,[142506]
548190,[82756]
548090,[142580]
547980,[142648]
547936,[73812]
547870,[10533]
547707,[119866]
547697,[145369]
547560,[120950]
547463,[73847]
547158,"[145687, 16719]"
547055,"[20831, 18745, 123528]"
547052,"[123528, 20831, 18745]"
546966,[143875]
546498,[142139]
546397,[142116]
545907,[104759]
545880,[136023]
545843,[119751]
545824,"[14299, 115]"
545773,[129145]
545595,"[48034, 126609, 48033]"
545581,[19799]
545458,[8474]
545432,[141889]
545355,[144714]
545317,"[161954, 141857]"
545312,[7140]
545165,"[9439, 9180]"
544700,"[141298, 136476, 129512]"
544697,"[141957, 128448]"
544684,[64307]
544679,"[136476, 129512, 141298]"
544648,[141718]
544646,"[129512, 136476, 141298]"
544639,"[136476, 129512, 141298]"
544637,"[136476, 129512, 141298]"
544636,"[136476, 129512, 141298]"
544635,"[136476, 129512, 141298]"
544601,[146632]
544523,"[136476, 135896, 129512]"
544476,[141527]
544028,[148073]
543922,"[143826, 145198, 133943]"
543862,[74289]
543482,[143288]
543404,[86990]
543349,[126571]
543258,"[141391, 141325]"
543152,[129311]
543078,[141349]
543007,[50257]
542879,[129311]
542862,"[104620, 90950]"
542563,[125615]
542531,[141195]
542120,"[141144, 141078, 141077]"
541988,[24591]
541825,[136006]
541636,"[141126, 1696, 140979]"
541600,[57509]
541225,"[140863, 140862]"
541128,[133331]
541098,[36117]
541085,[122984]
541074,"[21715, 20886, 20885, 68600, 21714, 108279]"
540908,[140811]
540790,"[140823, 140821]"
540785,[52993]
540734,[15572]
540702,[90134]
540658,[141261]
540641,"[135786, 135784]"
540590,[72206]
540563,[63353]
540555,[63353]
540339,[31472]
540238,"[147113, 140661]"
540185,[125776]
540006,[142118]
539920,"[2484, 140592]"
539783,[62265]
539378,[77225]
539296,[140462]
539269,[125805]
539257,[59192]
539219,[140433]
539157,[105625]
539029,"[18835, 112979, 112980]"
538936,[72214]
538834,"[127464, 69700]"
538818,[72389]
538815,[20630]
538754,[4082]
538583,[]
538537,"[77799, 120870]"
538532,[140454]
538503,[129651]
538384,[5780]
538366,[140442]
538353,"[137996, 54563]"
538218,[143897]
538199,[9849]
538187,[9849]
538186,[9849]
538185,[9849]
538109,"[151768, 142586, 142384]"
537880,[140115]
537869,"[139963, 123908]"
537868,[137971]
537773,[49700]
537614,[122251]
537510,[58212]
537333,[136291]
537141,[37626]
537050,[139935]
536963,"[141559, 141558, 11108, 11102]"
536825,"[53796, 21530, 51256, 3235, 18866]"
536773,[138727]
536683,"[14364, 8981, 1036]"
536506,"[139827, 139795]"
536399,[139874]
536297,[139735]
536295,[49700]
536237,[29048]
536187,[57152]
536162,[37958]
536068,"[144516, 144514, 144265, 139708]"
535893,[111815]
535866,[139622]
535836,[139622]
535827,"[131671, 139627, 130439]"
535728,"[139577, 74268, 139574]"
535702,"[2496, 2154, 952, 139594, 139592, 14334, 139591, 139589, 139577, 139574, 74264, 74268]"
